Recording	Participant	Position	TOI	Interval	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	1	0	20	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	2	20	40	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	3	301	321	20	SpaceIce
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	4	321	341	20	SpaceIce
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	5	341	361	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	6	401	421	20	OponentNoPuck
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	7	461	481	20	OponentNoPuck
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	8	761	781	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	9	781	801	20	Puck
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	10	801	821	20	Puck
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	11	821	842	20	Puck
Recording 9	lukshair	D	BO_Scans	1	Fixation	Partial	12	842	852	10	Puck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	1	0	10	10	Puck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	2	10	30	20	Puck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	3	30	50	20	Puck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	4	50	70	20	Puck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	5	331	351	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	6	351	371	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	7	391	411	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	8	431	451	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	9	451	471	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	10	491	511	20	OponentNoPuck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	11	511	531	20	OponentNoPuck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	12	631	651	20	OponentNoPuck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	13	892	912	20	Puck
Recording 9	lukshair	D	BO_Scans	2	Fixation	Partial	14	912	922	10	Puck
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	1	0	10	10	Puck
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	2	210	230	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	3	230	250	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	4	250	270	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	5	270	291	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	6	291	311	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	7	311	331	20	SpaceBoard
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	8	331	351	20	SpaceIce
Recording 9	lukshair	D	BO_Scans	3	Fixation	Partial	9	431	441	10	Puck
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	1	0	20	20	Puck
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	2	240	260	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	3	481	501	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	4	501	521	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	5	521	541	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	6	541	561	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	7	561	581	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	8	581	601	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	9	601	621	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	10	621	641	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	11	681	701	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	12	741	761	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	13	761	781	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	14	781	801	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	15	801	821	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	16	821	842	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	17	842	862	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	18	862	882	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	19	882	902	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	20	1102	1122	20	Puck
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	21	1122	1142	20	Puck
Recording 9	lukshair	D	SA_Scans	1	Fixation	Partial	22	1142	1162	20	Puck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	1	170	190	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	2	210	230	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	3	230	250	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	4	250	270	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	5	270	291	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	6	291	311	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	7	311	331	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	8	331	351	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	9	351	371	20	OponentNoPuck
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	10	571	591	20	TeammateWithPuckBody
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	11	591	611	20	TeammateWithPuckBody
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	12	611	631	20	TeammateWithPuckBody
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	13	631	651	20	TeammateWithPuckBody
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	14	651	671	20	TeammateWithPuckBody
Recording 9	lukshair	D	SA_Scans	2	Fixation	Partial	15	671	691	20	TeammateWithPuckBody
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	1	0	10	10	Puck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	2	10	30	20	Puck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	3	30	50	20	Puck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	4	50	70	20	Puck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	5	130	150	20	SpaceIce
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	6	210	230	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	7	230	250	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	8	250	270	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	9	270	291	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	10	291	311	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	11	311	331	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	12	331	351	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	13	351	371	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	14	371	391	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	15	411	431	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	16	431	451	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	17	451	471	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	18	471	491	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	19	491	511	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	20	511	531	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	21	531	551	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	22	551	571	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	23	571	591	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	24	591	611	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	25	611	631	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	26	631	651	20	TeammateNoPuck
Recording 9	lukshair	D	SA_Scans	3	Fixation	Partial	27	691	701	10	TeammateWithPuckStickArea
